school_id,school_name,district,block,School_Type,Class_Range_Label,Enroll_2223,Enroll_2324,Enroll_2425,Enroll_2526,Overall_Growth_pct,Trend_Tag,Stability_Label,CV_Pct,Girls_Ratio_Current,Girls_Growth_Pct,Boys_Growth_Pct,Girls_Imbalance_Flag,Girls_Declining_Flag,Avg_Continuity_Current,Low_Continuity_Flag,Weak_Continuity_Flag,Enroll_Gap_Current,Enroll_Pattern_Tag,Risk_Score,Risk_Level,Decline_flag,Severe_Decline_flag,Low_Continuity_flag,Wide_Enroll_Spread_flag,Low_Enrollment_flag,Volatile_flag,Girls_Decline_flag,Gender_Imbalance_flag,Small_School_flag,Gender_Driver,Class_Driver,Growth_Pattern_Tag,Model_School_Flag,Primary_Reason,Confidence_Level,All_Reasons_Detected,Potential_Score,Potential_Tag,Investment_Worthy,Girls_Progression_pct,Cont_C8_C9_pct,Weakest_Step,C10_C11_Trend,Ladder_Tag,Recovery_Pattern,Recovery_Strength,Had_Decline,Size_Tag,Size_Trend,Closure_Risk_Score,Closure_Risk_Tag,Active_Alerts,Max_Alert_Severity,Alert_Count
9150207401,GOVT. GIRLS INTER COLLEGE GARHICHANDMAN ACHHNERA AGRA,AGRA,ACCHNERA,Middle_to_Higher,6-12,127.0,135.0,150,176,38.58,Consistent Growth,Moderate,14.67,1.0,38.58,,No,No,206.05,No,No,-142.11,Narrow Spread,0,LOW RISK,No,No,No,No,No,No,No,No,No,Undetermined,Upper_Class_Growth,Undetermined Upper Class Growth,False,,,,3,Medium Potential,True,242.1,226.3,C10-C11,Fewer Girls Enrolling in C11,Moderate Enrollment,No Recovery Needed,Strong,False,Small School,Growing,0,Safe,,,0
9150200304,GOVT. HIGH SCHOOL ABHAIDOPURA,AGRA,ACCHNERA,Senior_Secondary,9-12,52.0,63.0,81,81,55.77,Volatile,Volatile,20.64,0.568,70.37,40.0,Yes,No,206.05,No,No,,Narrow Spread,4,MEDIUM RISK,No,No,No,No,Yes,Yes,No,Yes,No,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,False,,,,2,Medium Potential,False,0.0,2000000.0,C10-C11,Stable,Secondary School Only,No Recovery Needed,Strong,False,Small School,Growing,1,Monitor,,,0
9150204604,"GOVT. HIGH SCHOOL, BASTAI",AGRA,ACCHNERA,Senior_Secondary,9-12,103.0,97.0,90,103,0.0,Recovery,Moderate,6.29,0.563,9.43,-10.0,Yes,No,206.05,No,No,,Narrow Spread,1,LOW RISK,No,No,No,No,No,No,No,Yes,No,,,,False,,,,2,Medium Potential,False,0.0,2600000.0,C10-C11,Stable,Secondary School Only,Late Recovery,Moderate,True,Small School,Fluctuating,1,Monitor,,,0
9150200408,PT.DEENDAYAL UPADHYAY GOVT. MODEL I.C SANDHAN,AGRA,ACCHNERA,Middle_to_Higher,6-12,234.0,295.0,291,266,13.68,Peaked,Moderate,10.35,0.47,6.84,20.51,Yes,No,206.05,No,No,26.0,Moderate,1,LOW RISK,No,No,No,No,No,No,No,Yes,No,,,,False,,,,2,Medium Potential,False,68.0,136.0,C10-C11,Stable,Class 10-11 Enrollment Gap,Full Recovery,Moderate,True,Medium School,Fluctuating,0,Safe,,,0
9150203110,RAJKIYA HIGH SCHOOL RAIBHA,AGRA,ACCHNERA,Senior_Secondary,9-12,150.0,127.0,123,151,0.67,Recovery,Moderate,10.76,0.517,23.81,-16.09,Yes,No,206.05,No,No,,Narrow Spread,1,LOW RISK,No,No,No,No,No,No,No,Yes,No,,,,False,,,,3,Medium Potential,True,0.0,4300000.0,C10-C11,Stable,Secondary School Only,Late Recovery,Strong,True,Small School,Fluctuating,1,Monitor,,,0
9150101804,GOVT.HIGH SCHOOL BALHERA AKOLA,AGRA,AKOLA,Senior_Secondary,9-12,142.0,106.0,106,105,-26.06,Volatile,Volatile,15.83,0.457,-39.24,-9.52,Yes,Yes,206.05,No,No,,Narrow Spread,5,MEDIUM RISK,No,Yes,No,No,No,Yes,Yes,Yes,No,,,,False,Social/Gender Barrier,HIGH,"Social/Gender Barrier, Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Infrastructure/External Shock",0,Low Potential,False,0.0,1800000.0,C10-C11,Stable,Secondary School Only,Still Declining,No Recovery,True,Small School,Getting Smaller,1,Monitor,,,0
9150101103,PT. DEENDAYAL UPADHYAY GOVT. MODEL I.C MANKAIDA,AGRA,AKOLA,Middle_to_Higher,6-12,91.0,105.0,147,159,74.73,Consistent Growth,Volatile,26.0,0.61,67.24,87.88,Yes,No,206.05,No,No,-100.0,Narrow Spread,2,LOW RISK,No,No,No,No,No,Yes,No,Yes,No,Boys-Led,Upper_Class_Growth,Boys-Led Upper Class Growth,True,,,,3,Medium Potential,True,144.4,388.8,C9-C10,More Girls Enrolling in C11,Early Class Enrollment Gap,No Recovery Needed,Strong,False,Small School,Growing,0,Safe,,,0
9150302904,GOVT HSS BATESHWAR BAH,AGRA,BAH,Senior_Secondary,9-12,157.0,100.0,98,89,-43.31,Consistent Decline,Volatile,27.96,0.472,-45.45,-41.25,Yes,Yes,206.05,No,No,,Narrow Spread,10,HIGH RISK,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,,,,False,Higher Education Transition Issue,HIGH,"Higher Education Transition Issue, Low Enrollment at Board Class Boundary, Infrastructure/External Shock",0,Low Potential,False,0.0,1700000.0,C10-C11,Stable,Secondary School Only,Still Declining,No Recovery,True,Small School,Getting Smaller,3,High Risk,4-YEAR ENROLLMENT DECLINE; MULTI-RISK ENROLLMENT,CRITICAL,2
9150301240,GOVT. ABHINAV VIDHYALAYA BIJOLI BAH,AGRA,BAH,Middle_to_Higher,6-12,132.0,152.0,142,157,18.94,Volatile,Moderate,7.61,0.401,-10.0,51.61,Yes,Yes,206.05,No,No,-22.22,Narrow Spread,2,LOW RISK,No,No,No,No,No,No,Yes,Yes,No,Boys-Led,Upper_Class_Growth,Boys-Led Upper Class Growth,False,,,,3,Medium Potential,True,160.0,110.0,C9-C10,More Girls Enrolling in C11,Strong Enrollment,Full Recovery,Moderate,True,Small School,Fluctuating,0,Safe,,,0
9150403204,GOVT. GIRLS INTER COLLEGE NAINANA JAT AGRA,AGRA,BAROLI AHEER,Middle_to_Higher,6-12,468.0,511.0,513,511,9.19,Peaked,Stable,4.36,1.0,9.19,,No,No,206.05,No,No,-41.43,Narrow Spread,0,LOW RISK,No,No,No,No,No,No,No,No,No,,,,False,,,,1,Low Potential,False,141.4,195.7,C9-C10,More Girls Enrolling in C11,Early Class Enrollment Gap,Full Recovery,Weak,True,Large School,Fluctuating,0,Safe,,,0
