school_id,school_name,district,block,School_Type,Class_Range_Label,Enroll_Gap_Current,Enroll_Gap_Base,Enroll_Gap_Change,Enroll_Pattern_Tag
9150207401,GOVT. GIRLS INTER COLLEGE GARHICHANDMAN ACHHNERA AGRA,AGRA,ACCHNERA,Middle_to_Higher,6-12,-142.11,-300.0,157.89,Narrow Spread
9150200304,GOVT. HIGH SCHOOL ABHAIDOPURA,AGRA,ACCHNERA,Senior_Secondary,9-12,,,,Narrow Spread
9150204604,"GOVT. HIGH SCHOOL, BASTAI",AGRA,ACCHNERA,Senior_Secondary,9-12,,,,Narrow Spread
9150200408,PT.DEENDAYAL UPADHYAY GOVT. MODEL I.C SANDHAN,AGRA,ACCHNERA,Middle_to_Higher,6-12,26.0,-100.0,126.0,Moderate
9150203110,RAJKIYA HIGH SCHOOL RAIBHA,AGRA,ACCHNERA,Senior_Secondary,9-12,,,,Narrow Spread
9150101804,GOVT.HIGH SCHOOL BALHERA AKOLA,AGRA,AKOLA,Senior_Secondary,9-12,,,,Narrow Spread
9150101103,PT. DEENDAYAL UPADHYAY GOVT. MODEL I.C MANKAIDA,AGRA,AKOLA,Middle_to_Higher,6-12,-100.0,-55.56,-44.44,Narrow Spread
9150302904,GOVT HSS BATESHWAR BAH,AGRA,BAH,Senior_Secondary,9-12,,,,Narrow Spread
9150301240,GOVT. ABHINAV VIDHYALAYA BIJOLI BAH,AGRA,BAH,Middle_to_Higher,6-12,-22.22,4.17,-26.39,Narrow Spread
9150403204,GOVT. GIRLS INTER COLLEGE NAINANA JAT AGRA,AGRA,BAROLI AHEER,Middle_to_Higher,6-12,-41.43,14.44,-55.87,Narrow Spread
9150401704,"GOVT. HIGH SCHOOL, GANGRAUA",AGRA,BAROLI AHEER,Senior_Secondary,9-12,,,,Narrow Spread
9150405004,PT.DEENDAYAL UPADHYAY GOVT. I.C BIJHAMAI,AGRA,BAROLI AHEER,Middle_to_Higher,6-12,18.75,58.62,-39.87,Moderate
9150400904,RAJKIYA HIGH SCHOOL DIGNER,AGRA,BAROLI AHEER,Senior_Secondary,9-12,,,,Narrow Spread
9150405203,VIRANGANA AVANTIBAI GOVT. GIRLS INTER COLLEGE KALAL KHERIA AGRA,AGRA,BAROLI AHEER,Middle_to_Higher,6-12,-101.61,-67.06,-34.55,Narrow Spread
9150501805,GOVT HSS JAUPURA BICHPURI,AGRA,BICHPURI,Senior_Secondary,9-12,,,,Narrow Spread
9150503512,PT.DEENDAYAL UPADHYAY GOVT. MODEL I.C MIDAKUR,AGRA,BICHPURI,Middle_to_Higher,6-12,-66.67,-4.65,-62.02,Narrow Spread
9150607005,GOVT. HIGH SCHOOL KHUSHAPUR,AGRA,ETMADPUR,Senior_Secondary,9-12,,,,Narrow Spread
9150602003,RAJKIYA HIGH SCHOOL BAHRAMPUR,AGRA,ETMADPUR,Senior_Secondary,9-12,,,,Narrow Spread
9150600506,RAJKIYA HIGH SCHOOL MITAWALI,AGRA,ETMADPUR,Senior_Secondary,9-12,,,,Narrow Spread
9151104603,GHS NANDAPURA,AGRA,FATEHABAD,Senior_Secondary,9-12,,,,Narrow Spread
9151110303,"GOVT. HIGHER SECONDARY SCHOOL, BARANA",AGRA,FATEHABAD,Senior_Secondary,9-12,,,,Narrow Spread
9150701003,GOVT HSS CHAUMA SHAPUR F.SIKARI,AGRA,FATEHPUR  SIKRI,Senior_Secondary,9-12,,,,Narrow Spread
9150703903,RAJKIYA HIGH SCHOOL OLENDA,AGRA,FATEHPUR  SIKRI,Senior_Secondary,9-12,,,,Narrow Spread
9150804903,RAJKIYA HIGH SCHOOL CHANDSAURA,AGRA,JAGNER,Senior_Secondary,9-12,,,,Narrow Spread
9150802603,RAJKIYA HIGH SCHOOL RICHOHA,AGRA,JAGNER,Senior_Secondary,9-12,,,,Narrow Spread
9150909801,GOVERNMENT  INTER COLLEGE KACHHPURA AGRA,AGRA,JAITPUR  KALAN,Middle_to_Higher,6-12,41.18,25.0,16.18,Wide Spread
9150909606,GOVT. HIGH SCHOOL CHITRAHAT,AGRA,JAITPUR  KALAN,Senior_Secondary,9-12,,,,Narrow Spread
9151003604,GOVT. GIRLS INTER COLLEGE AWALKHEDA AGRA,AGRA,KHANDOLI,Middle_to_Higher,6-12,-227.03,-91.67,-135.36,Narrow Spread
9151000133,GOVT. HIGH SCHOOL NAGLA JAUHARI AGRA,AGRA,KHANDOLI,Senior_Secondary,9-12,,,,Narrow Spread
9151004507,PT. DEENDAYAL UPADHYAY GOVT. MODEL I.C SEMRA,AGRA,KHANDOLI,Middle_to_Higher,6-12,-65.62,-38.24,-27.38,Narrow Spread
9151000904,RAJKIYA HIGH SCHOOL KHEDA HAZIPUR,AGRA,KHANDOLI,Senior_Secondary,9-12,,,,Narrow Spread
9151004506,RAJKIYA HIGH SCHOOL SAIMRA,AGRA,KHANDOLI,Senior_Secondary,9-12,,,,Narrow Spread
9151206612,GOVT. GIRLS INTER COLLEGE  KHERAGARH AGRA,AGRA,KHERAGARH,Middle_to_Higher,6-12,-150.0,-83.33,-66.67,Narrow Spread
9151714173,GOVT. GIRLS INTER COLLEGE SHAHGANJ AGRA,AGRA,M.C.AGRA CITY,Middle_to_Higher,6-12,-110.0,-107.14,-2.86,Narrow Spread
9151711940,GOVT. INTER COLLEGE SHAHGANJ AGRA,AGRA,M.C.AGRA CITY,Middle_to_Higher,6-12,-201.48,-457.81,256.33,Narrow Spread
9151300704,RAJKIYA HIGH SCHOOL SAVORA,AGRA,PINAHAT,Senior_Secondary,9-12,,,,Narrow Spread
9151405312,GOVT. HIGH SCHOOL TEHRA SAIYAN,AGRA,SAIYAN,Senior_Secondary,9-12,,,,Narrow Spread
9151507604,"GOVT. HIGH SCHOOL, JAI NAGAR",AGRA,SHAMSHABAD,Senior_Secondary,9-12,,,,Narrow Spread
9151508107,RAJKIYA HIGH SCHOOL KOLARA KALAN,AGRA,SHAMSHABAD,Senior_Secondary,9-12,,,,Narrow Spread
9120205303,RAJKIY HIGH SCHOOL KATHERA,ALIGARH,AKRABAD,Senior_Secondary,9-12,,,,Narrow Spread
9120306904,RAJKEYA INTER COLLEGE SAHNOL  ATRAULI,ALIGARH,ATRAULI,Middle_to_Secondary,6-10,,,,Narrow Spread
9120305202,RAJKEYA KANYA  INTER COLLEGE  NARONA,ALIGARH,ATRAULI,Middle_to_Higher,6-12,-261.9,-68.42,-193.48,Narrow Spread
9120305706,RAJKEYA KANYA INTER COLLEGE CHANDAULA,ALIGARH,ATRAULI,Middle_to_Secondary,6-10,,,,Narrow Spread
